16 edged hard leather whip tipped with highsteel razorblades;30% mithril, 15% highsteel, 55% leather
a bunny-sized collar decorated with a red bowtie;40% silk, 60% leather
a band of frost and ice;ice
a barbed demonscale platemail;leather
a bastard sword with an ivory hilt;dukonium
a battleaxe of divinities;mithril
a battle-scarred shin guard;highsteel
A beautiful bastard sword with an emerald blade;emerald
A beautiful black pearl collar;pearl
a beautiful composite bow;40% oak, 60% bone
a beautiful golden pendant;gold
a beautiful red pearl necklace;glass
A beautiful rosary enfolded with white mist (holy);cloth
a beautiful silk blanket;silk
a beautiful white blade, made of ice;ice
a beaver fur coat;fur
a beetle shaped ring;80% onyx, 20% emerald
a Beholder (the costume);flesh
a black and white striped pot helmet;steel
A black arm protector inlaid with rubies;10% fur, 5% ruby, 85% leather
A black arm protector inlaid with rubies;5% ruby, 10% fur, 85% leather
a black battlesuit decorated with skulls;steel
a black belt decored with golden stripes;3% silver, 5% gold, 92% leather
A black belt, inlaid with pearls;10% pearl, 5% mithril, 85% leather
a black belt with bird claw symbol;cloth
a black bone bracelet;bone
a black bowler;cloth
a black cloak (evil glow);cloth
a black crystal pendant;80% glass, 20% silver
a blackened apron;leather
a blackened iron crown;iron
a blackened steel scythe with silvery ornaments;80% steel, 20% mithril
a black full plate with a skull emblem;highsteel
A black glowing morningstar 'Fury Divine';onyx
a black hood;leather
a black lacquered plate mail;highsteel
a black leaf of The Old Man Willow.;wood
a black leather belt with a red bird claw symbol on the buckle;leather
a black leather choker;5% steel, 95% leather
a black leg protector;5% gold, 95% leather
a black pair of trousers decorated with silver skulls;silk
a black pot helmet with one great spike on the top;steel
a black ring;obsidian
A black scaly crown, made of thorns;wood
a black scaly finger guard, made of thorns (burned);ebony
a black sharpened wakizashi 'dawning edge';40% gold, 60% steel
a black skull belt...it has a black aura around it;bone
a black sleeve made of mamba skin;leather
a black sword, radiating darkness;nullium
A black tomahawk with sharp diamond blade;40% diamond, 60% darksteel
A black tricorn hat with a large dark feather;cloth
A black vampire cloak;cloth
a blazing diamond amulet named 'Chael';diamond
a blessed and enchanted steel maul;steel
a blessed steel maul;steel
a blood angel's 2h sword;darksteel
a blood angel's battleaxe;darksteel
a blood angel's broadsword;darksteel
a blood angel's claymore;darksteel
a blood angel's cutlass;darksteel
a blood angel's glaive;darksteel
a blood angel's great axe;darksteel
a blood angel's lance;darksteel
a blood angel's mace;darksteel
a blood angel's morningstar;darksteel
a blood angel's no-dachi;darksteel
a blood angel's sabre;darksteel
a blood angel's voulge;darksteel
a blood red vest;flesh
A blood smeared dagger called VIPER;diamond
a bloodstained breastplate;bronze
a bloody femur with small strips of flesh still attached (hungry);92% bone, 8% flesh
a blue cape with a white orchid;silk
a blue dragon's fang;bone
A blue hat of wizardy;cotton
a blue pair of trousers decorated with silver stars;silk
A blue pointed magician hat covered with silver stars;cloth
a blue ribbon;silk
a bone spiderfang;bone
A box, covered with fierce burning symbols;10% opal, 20% iron, 20% mithril, 20% anipium, 10% diamond, 20% zhentorium
a bracelet decorated with white silver skulls;steel
a breastplate of shells;bone
a broad spiked leather collar;15% steel, 85% leather
a bronze ring;bronze
A bronze ring (slimy);bronze
a bronze shirriff's star;bronze
a bronze signet ring;bronze
a brooch decorated with a blood-red ruby;ruby
a brown cloak of protection;leather
a brown pair of boots with missing soles;leather
a burning amulet;60% fire, 40% tormium
A burning red tail ring;80% silk, 1% fire, 19% steel
a burning tome;10% ruby, 10% leather, 80% paper
a carved wooden wedding ring;wood
Acerack, The Axe of Light;highsteel
a chain linked steel tail guard;55% steel, 10% mithril, 35% leather
a checkered red and blue kilt;cloth
a circular ornamental shield with wyvern engravings;5% diamond, 85% steel, 10% nullium
a clear blue crystal pendant;80% glass, 20% silver
a cloak made of snake skins;leather
a cloak of frost;wool
